fixture_style_id,generator_style,layer,property,fixture_value,generated_value,basis
ac,TitlePageText,computedPPr,spacing.after,,0,IMPLEMENTATION: src/shared/config/sto-styles.ts:246-259; normative basis for this exact delta UNIDENTIFIED.
ac,TitlePageText,computedPPr,spacing.before,,0,IMPLEMENTATION: src/shared/config/sto-styles.ts:246-259; normative basis for this exact delta UNIDENTIFIED.
ac,TitlePageText,computedRPr,lang.bidi,ar-SA,,IMPLEMENTATION: src/shared/config/sto-styles.ts:246-259; normative basis for this exact delta UNIDENTIFIED.
ac,TitlePageText,computedRPr,lang.eastAsia,ru-RU,,IMPLEMENTATION: src/shared/config/sto-styles.ts:246-259; normative basis for this exact delta UNIDENTIFIED.
ac,TitlePageText,computedRPr,rFonts.eastAsiaTheme,minorEastAsia,,IMPLEMENTATION: src/shared/config/sto-styles.ts:246-259; normative basis for this exact delta UNIDENTIFIED.
afc,StructuralHeading,computedPPr,ind.firstLine,,0,UNIDENTIFIED: no authoritative source line was found for this exact numeric XML delta.
afc,StructuralHeading,computedPPr,spacing.before,,0,UNIDENTIFIED: no authoritative source line was found for this exact numeric XML delta.
afc,StructuralHeading,computedPPr,suppressAutoHyphens,True,,UNIDENTIFIED: no authoritative source line was found for this exact numeric XML delta.
afc,StructuralHeading,computedRPr,color.val,,000000,UNIDENTIFIED: no authoritative source line was found for this exact numeric XML delta.
afc,StructuralHeading,computedRPr,lang.bidi,ar-SA,,UNIDENTIFIED: no authoritative source line was found for this exact numeric XML delta.
afc,StructuralHeading,computedRPr,lang.eastAsia,ru-RU,,UNIDENTIFIED: no authoritative source line was found for this exact numeric XML delta.
afc,StructuralHeading,computedRPr,rFonts.cstheme,majorBidi,,UNIDENTIFIED: no authoritative source line was found for this exact numeric XML delta.
afc,StructuralHeading,computedRPr,rFonts.eastAsiaTheme,majorEastAsia,,UNIDENTIFIED: no authoritative source line was found for this exact numeric XML delta.
aff0,StructuralHeadingNoTOC,computedPPr,shd.color,auto,,UNIDENTIFIED: no authoritative source line was found for this exact numeric XML delta.
aff0,StructuralHeadingNoTOC,computedPPr,shd.fill,FFFFFF,,UNIDENTIFIED: no authoritative source line was found for this exact numeric XML delta.
aff0,StructuralHeadingNoTOC,computedPPr,shd.val,clear,,UNIDENTIFIED: no authoritative source line was found for this exact numeric XML delta.
aff0,StructuralHeadingNoTOC,computedPPr,spacing.before,,0,UNIDENTIFIED: no authoritative source line was found for this exact numeric XML delta.
aff0,StructuralHeadingNoTOC,computedRPr,bCs,,True,UNIDENTIFIED: no authoritative source line was found for this exact numeric XML delta.
aff0,StructuralHeadingNoTOC,computedRPr,lang.bidi,ar-SA,,UNIDENTIFIED: no authoritative source line was found for this exact numeric XML delta.
aff0,StructuralHeadingNoTOC,computedRPr,lang.eastAsia,ru-RU,,UNIDENTIFIED: no authoritative source line was found for this exact numeric XML delta.
aff0,StructuralHeadingNoTOC,computedRPr,rFonts.eastAsiaTheme,minorEastAsia,,UNIDENTIFIED: no authoritative source line was found for this exact numeric XML delta.
aff1,TableText,computedPPr,spacing.after,,0,"IMPLEMENTATION: src/shared/config/sto-styles.ts:191-259; captions' no-hyphenation rule is local-source-14 (withheld extracted text):477-479,526-528; numeric basis for this exact delta UNIDENTIFIED."
aff1,TableText,computedPPr,spacing.before,,0,"IMPLEMENTATION: src/shared/config/sto-styles.ts:191-259; captions' no-hyphenation rule is local-source-14 (withheld extracted text):477-479,526-528; numeric basis for this exact delta UNIDENTIFIED."
aff1,TableText,computedRPr,color.val,,000000,"IMPLEMENTATION: src/shared/config/sto-styles.ts:191-259; captions' no-hyphenation rule is local-source-14 (withheld extracted text):477-479,526-528; numeric basis for this exact delta UNIDENTIFIED."
aff1,TableText,computedRPr,lang.bidi,ar-SA,,"IMPLEMENTATION: src/shared/config/sto-styles.ts:191-259; captions' no-hyphenation rule is local-source-14 (withheld extracted text):477-479,526-528; numeric basis for this exact delta UNIDENTIFIED."
aff1,TableText,computedRPr,lang.eastAsia,ru-RU,,"IMPLEMENTATION: src/shared/config/sto-styles.ts:191-259; captions' no-hyphenation rule is local-source-14 (withheld extracted text):477-479,526-528; numeric basis for this exact delta UNIDENTIFIED."
aff1,TableText,computedRPr,rFonts.eastAsiaTheme,minorEastAsia,,"IMPLEMENTATION: src/shared/config/sto-styles.ts:191-259; captions' no-hyphenation rule is local-source-14 (withheld extracted text):477-479,526-528; numeric basis for this exact delta UNIDENTIFIED."
